Date,	StartTime,	Grade,	MouldSize
2024-07-01,	0:14,	B500B,	"5"""
2024-07-01,	1:25,	B500B,	"5"""
2024-07-01,	2:36,	B500B,	"5"""
2024-07-01,	3:47,	B500C,	"5"""
2024-07-01,	4:58,	-,	-
2024-07-01,	14:00,	A53/C591,	"6"" RD"
2024-07-01,	15:11,	A53/C591,	"6"" RD"
2024-07-01,	16:22,	A53/C591,	"6"" RD"
2024-07-01,	17:33,	A53/C591,	"6"" RD"
2024-07-01,	18:44,	A53/C591,	"6"" RD"
2024-07-01,	19:55,	A53/C591,	"6"" RD"
2024-07-01,	21:06,	A53/C591,	"6"" RD"
2024-07-01,	22:17,	A53/C591,	"6"" RD"
2024-07-01,	23:28,	A53/C591,	"6"" RD"
2024-07-01,	23:29,	-,	-
2024-07-02,	0:50,	A53/C591,	"6"" RD"
2024-07-02,	2:01,	-,	-
2024-07-02,	6:00,	B500A,	"6 1/4"""
2024-07-02,	7:11,	B500A,	"6 1/4"""
2024-07-02,	8:22,	B500B,	"5"""
2024-07-02,	9:33,	A53/C591,	"5"""
2024-07-02,	10:44,	B500B,	"5"""
2024-07-02,	11:55,	B500B,	"5"""
2024-07-02,	13:06,	B500B,	"5"""
2024-07-02,	14:17,	B500B,	"5"""
2024-07-02,	15:28,	B500B,	"5"""
2024-07-02,	16:39,	B500B,	"5"""
2024-07-02,	17:50,	-,	-
2024-07-03,	4:00,	C35,	"6 1/4"""
2024-07-03,	5:11,	C40,	"6 1/4"""
2024-07-03,	6:22,	-,	-
2024-07-03,	12:00,	B500B,	"5"""
2024-07-03,	13:11,	B500B,	"5"""
2024-07-03,	14:22,	B500B,	"5"""
2024-07-03,	15:33,	B500B,	"5"""
2024-07-03,	16:44,	C35,	"5"""
2024-07-03,	17:55,	B500B,	"5"""
2024-07-03,	19:06,	B500B,	"5"""
2024-07-03,	20:17,	C35,	"5"""
2024-07-03,	21:28,	B500B,	"5"""
2024-07-03,	22:39,	B500B,	"5"""
2024-07-03,	23:50,	B500B,	"5"""
2024-07-04,	2:01,	-,	-
2024-07-04,	12:00,	B500B,	"5"""
2024-07-05,	12:00,	B500B,	"5"""
2024-07-06,	12:00,	B500B,	"5"""
2024-07-07,	12:00,	B500B,	"5"""
2024-07-08,	12:00,	C35,	"5"""
2024-07-09,	12:00,	B500B,	"5"""
2024-07-10,	12:00,	B500B,	"5"""
2024-07-11,	12:00,	B500B,	"5"""
2024-07-12,	12:00,	C35,	"5"""
2024-07-13,	12:00,	B500B,	"5"""
2024-07-14,	12:00,	B500B,	"5"""
2024-07-15,	12:00,	B500B,	"5"""
2024-07-16,	12:00,	A53/C591,	"5"""
2024-07-17,	12:00,	B500B,	"5"""
2024-07-18,	12:00,	B500B,	"5"""
2024-07-19,	12:00,	B500B,	"5"""
2024-07-20,	12:00,	B500B,	"5"""
2024-07-21,	12:00,	B500B,	"5"""
2024-07-22,	12:00,	B500B,	"5"""
2024-07-23,	12:00,	B500B,	"5"""
2024-07-24,	12:00,	A53/C591,	"5"""
2024-07-25,	12:00,	B500B,	"5"""
2024-07-26,	12:00,	B500B,	"5"""
2024-07-27,	12:00,	B500B,	"5"""
2024-07-28,	12:00,	B500B,	"5"""
2024-07-29,	12:00,	B500B,	"5"""
2024-07-30,	12:00,	B500B,	"5"""
2024-07-31,	12:00,	A36,	"5"""
